Biochem_No	Biochem	FoldChange	pvalue
2467	"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*"	1.23	0.0492000
2468	"glycosyl ceramide (d18:1/23:1, d17:1/24:1)*"	0.90	0.6026000
2469	"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*"	0.99	0.8115000
2477	3-hydroxy-3-methylglutarate	0.97	0.9603000
2478	mevalonate	0.93	0.4657000
2492	cholesterol	0.96	0.5261000
2502	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	0.78	0.0956000
2515	4-cholesten-3-one	0.94	0.3420000
2586	corticosterone	0.76	0.0003000
2681	cholate	0.26	0.0417000
2683	taurocholate	1.21	0.6426000
2686	taurochenodeoxycholate	1.48	0.4920000
2687	beta-muricholate	0.31	0.0841000
2688	alpha-muricholate	0.17	0.0197000
2689	tauro-alpha-muricholate	0.73	0.4942000
2690	tauro-beta-muricholate	1.03	0.9449000
2700	deoxycholate	0.47	0.1521000
2703	taurodeoxycholate	1.30	0.6203000
2712	ursodeoxycholate	0.23	0.0294000
2715	tauroursodeoxycholate	1.19	0.6504000
2725	taurohyodeoxycholic acid	0.30	0.1071000
2733	7-ketodeoxycholate	0.06	0.0002000
2741	ursocholate	0.26	0.0064000
3307	inosine	4.16	0.0188000
3308	hypoxanthine	2.28	0.0972000
3309	xanthine	1.06	0.6878000
3311	xanthosine	0.76	0.9868000
3314	N1-methylinosine	1.35	0.0156000
3317	Urate	0.49	0.0049000
3318	allantoin	1.00	0.8864000
3331	adenosine	1.26	0.0250000
3332	adenine	0.33	0.5005000
3337	N1-methyladenosine	1.59	0.0179000
3347	N6-carbamoylthreonyladenosine	1.10	0.2345000
3356	N6-succinyladenosine	1.13	0.5353000
3364	guanosine	1.99	0.1622000
3367	7-methylguanine	1.20	0.0151000
3385	dihydroorotate	1.78	0.3101000
3386	orotate	0.78	0.0989000
3388	orotidine	1.04	0.6150000
3398	uridine	0.86	0.1789000
3399	uracil	1.11	0.4116000
3400	pseudouridine	1.15	0.0300000
3401	"5,6-dihydrouridine"	1.18	0.0271000
3402	2'-O-methyluridine	0.83	0.5226000
3410	"5,6-dihydrouracil"	0.71	0.2616000
3414	2'-deoxyuridine	0.91	0.3571000
3417	3-ureidopropionate	0.98	0.9555000
3418	beta-alanine	1.26	0.2877000
3419	N-acetyl-beta-alanine	1.22	0.0221000
3424	cytidine 5'-monophosphate (5'-CMP)	1.69	0.2155000
3428	cytidine	1.13	0.5362000
3431	5-methylcytidine	1.11	0.8060000
3432	N4-acetylcytidine	1.45	0.0157000
3438	2'-deoxycytidine	0.89	0.3514000
3439	2'-O-methylcytidine	1.16	0.3496000
3440	5-methyl-2'-deoxycytidine	0.77	0.0158000
3448	thymidine	0.75	0.2079000
3449	thymine	0.99	0.7536000
3457	quinolinate	0.86	0.8305000
3461	nicotinamide	1.57	0.2346000
3472	nicotinamide N-oxide	0.91	0.5824000
3473	1-methylnicotinamide	1.07	0.4753000
3478	trigonelline (N'-methylnicotinate)	0.52	0.0105000
3480	N1-Methyl-2-pyridone-5-carboxamide	0.92	0.4291000
3481	N1-Methyl-4-pyridone-3-carboxamide	1.27	0.3592000
3485	riboflavin (Vitamin B2)	1.02	0.7377000
3488	pantothenate	1.05	0.7567000
3501	threonate	1.19	0.1541000
3504	oxalate (ethanedioate)	0.98	0.7167000
3505	gulonate*	0.72	0.1372000
3507	alpha-tocopherol	0.70	0.7858000
3521	gamma-tocopherol/beta-tocopherol	0.75	0.2220000
3528	biopterin	0.93	0.6395000
3529	dihydrobiopterin	0.77	0.1291000
3543	heme	1.15	0.3271000
3544	"bilirubin (Z,Z)"	0.33	0.3552000
3545	"bilirubin (E,E)*"	0.39	0.2467000
3547	biliverdin	0.78	0.4777000
3564	retinol (Vitamin A)	0.84	0.4036000
3583	pyridoxal	0.97	0.9335000
3584	pyridoxate	0.98	0.7957000
3586	Hippurate	0.38	0.0012000
3592	4-hydroxyhippurate	1.32	0.2554000
3598	benzoate	0.96	0.6543000
3616	catechol sulfate	0.35	0.0004000
3621	4-methylcatechol sulfate	0.56	0.0111000
3653	p-cresol sulfate	1.14	0.6459000
3664	3-(3-hydroxyphenyl)propionate sulfate	0.81	0.6029000
3786	"2,3-dihydroxyisovalerate"	0.57	0.0064000
3816	gluconate	0.90	0.7670000
3876	Genistein sulfate	0.09	0.0000069
3888	equol sulfate	4.44	0.0131000
3889	ergothioneine	2.17	0.0724000
3915	homostachydrine*	0.54	0.0169000
3941	methyl indole-3-acetate	0.81	0.5369000
3950	N-glycolylneuraminate	1.11	0.8470000
4006	stachydrine	0.51	0.0110000
4030	methyl glucopyranoside (alpha + beta)	0.90	0.0469000
4060	Daidzein sulfate	0.11	0.0000004
4133	tartronate (hydroxymalonate)	0.57	0.0245000
4568	sulfate*	1.07	0.2103000
4571	O-sulfo-L-tyrosine	1.58	0.0055000
4573	1-(3-aminopropyl)-2-pyrrolidone	1.41	0.1013000
4575	ethyl glucuronide	0.67	0.3093000
4618	S-(3-hydroxypropyl)mercapturic acid (HPMA)	0.85	0.4371000
4643	HEPES	1.00	1.0000000
4677	trizma acetate	0.07	0.3770000
4680	MOPS	0.04	0.6774000
4684	4-hydroxychlorothalonil	0.60	0.0195000
4701	6-hydroxyindole sulfate	0.96	0.8285000
4705	thioproline	3.06	0.0001000
